Year,Name,Link,Use,Downloaded?,Location,Notes
1791,Breviarium Leodiense,https://books.google.com/books?id=ntoHAAAAQAAJ,,,,
1791,Breviarium Leodiense,https://books.google.com/books?id=T9sHAAAAQAAJ,,,,
1791,Breviarium Leodiense,https://books.google.com/books?id=9NoHAAAAQAAJ,,,,
1791,Breviarium Leodiense,https://books.google.com/books?id=ntoHAAAAQAAJ,,,,
1795,Dominican Breviary,https://books.google.com/books?id=_3WuNeQZXbwC,SOP,,,
1799,Breviary,https://archive.org/details/breviariumroman00churgoog,,,,
1799,Breviary,https://archive.org/details/breviariumroman01churgoog,,,,
1799,Breviary,https://archive.org/details/breviariumroman02churgoog,,,,
1799,Breviary,https://archive.org/details/breviariumroman03churgoog,,,,
1799,Breviary,https://archive.org/details/BreviariumRomanum1799,,,,
1824,Breviarium Bisuntinum,https://archive.org/details/BreviariumBisuntinum1824,,,,
1829,Breviarium Romanum,https://books.google.com/books?id=opEU4ccRwBUC,Roman,,,
1830,Breviarium Constantiense,https://books.google.com/books?id=-809AAAAYAAJ,,,,
1830,Breviarium Ambrosianum,https://books.google.com/books?id=388HAAAAQAAJ,,,,
1830,Breviarium Ambrosianum,https://books.google.com/books?id=EMUHAAAAQAAJ,,,,
1830,Breviarium Remense,https://books.google.com/books?id=s8I-AAAAYAAJ,,,,
1830,Breviarium Remense,https://books.google.com/books?id=EsI-AAAAYAAJ,,,,
1830,Breviarium Remense,https://books.google.com/books?id=TcE-AAAAYAAJ,,,,
1830,Breviarium Remense,https://books.google.com/books?id=lLg-AAAAYAAJ,,,,
1834,Breviarium atrebatense,https://archive.org/details/BreviariumAtrebatense,,,,
1836,Parisense,https://books.google.com/books?id=i5sEAAAAQAAJ,,,,
1849,Breviarium sanctae Ambianensi,https://books.google.com/books?id=xNUHAAAAQAAJ,,,,
1849,Breviarium sanct� Ambianensi,https://books.google.com/books?id=7tMHAAAAQAAJ,,,,
1849,Breviarium sanct� Ambianensi,https://books.google.com/books?id=BNUHAAAAQAAJ,,,,
1849,Breviarium sanct� Ambianensi ecclesi�,https://books.google.com/books?id=btUHAAAAQAAJ,,,,
1854,Breviarium Aberdonense,https://archive.org/details/breviariumaberdo00cath,,,,
1854,Breviarium Aberdonense,https://books.google.com/books?id=P70UAAAAQAAJ,,,,
1854,Breviarium Aberdonense,https://archive.org/details/breviariumaberdo01cath,,,,
1858,Breviarium Romano-Seraphicum,https://books.google.com/books?id=uFN9s0e8XmAC,Roman,,,
1859,Breviarium Marianum,https://books.google.com/books/about?id=mwBxkH7xWeAC,Marian,,,
1860,Officia propria ecclesiæ metropolitanæ et archidiœcesis Tolosanæ,https://books.google.com/books?id=sKE9AAAAYAAJ,,,,
1869,Breviarium Cisterciense,https://books.google.com/books?id=fWYpAAAAYAAJ,,,,
1879,Sarum Breviary,https://archive.org/details/breviariu01cath,,,,Publishing Year
